Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use,Battery Consumption (mAh/day)
41,Other,Jaipur,Realme,Android,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,Education,17860.5
51,Female,Kolkata,Vivo,Android,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,Education,24128.5
45,Female,Hyderabad,Realme,Android,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,Entertainment,10867.5
39,Female,Jaipur,Motorola,Android,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,Entertainment,1880.0
40,Female,Lucknow,Oneplus,Android,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,Education,10794.0
28,Female,Chennai,Xiaomi,Android,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,Social Media,4452.0
57,Male,Delhi,Vivo,Android,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,Social Media,6395.999999999999
23,Female,Ahmedabad,Vivo,Android,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,Social Media,15514.999999999998
56,Other,Kolkata,Nokia,Android,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,Work,19787.0
22,Other,Kolkata,Google Pixel,Android,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,Work,2728.0
19,Male,Kolkata,Apple,Ios,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,Education,797.5
49,Other,Lucknow,Samsung,Android,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,Social Media,11284.0
54,Male,Ahmedabad,Vivo,Android,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,Social Media,2420.0000000000005
40,Male,Bangalore,Vivo,Android,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,Work,1325.0
52,Female,Kolkata,Xiaomi,Android,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,Social Media,7436.0
42,Other,Mumbai,Google Pixel,Android,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,Education,714.0
23,Other,Hyderabad,Samsung,Android,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,Entertainment,5676.0
51,Other,Mumbai,Samsung,Android,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,Education,9416.0
19,Male,Bangalore,Realme,Android,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,Social Media,3844.0000000000005
52,Other,Delhi,Xiaomi,Android,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,Social Media,3075.0
17,Other,Lucknow,Apple,Ios,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,Entertainment,7144.0
31,Female,Ahmedabad,Nokia,Android,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,Education,21372.000000000004
49,Other,Jaipur,Oneplus,Android,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,Social Media,19780.0
21,Male,Delhi,Motorola,Android,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,Education,7238.000000000001
51,Male,Lucknow,Oneplus,Android,5.4,15.8,115.7,115,3.2,2929,3.0,2.7,1772,Social Media,4266.0
32,Other,Mumbai,Vivo,Android,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,Social Media,7975.0
43,Other,Bangalore,Xiaomi,Android,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,Work,6192.0
25,Male,Bangalore,Oneplus,Android,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,Work,10640.0
16,Female,Pune,Nokia,Android,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,Work,3195.0
49,Male,Pune,Motorola,Android,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,Education,2890.0
35,Male,Hyderabad,Xiaomi,Android,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,Gaming,1245.0
49,Male,Pune,Apple,Ios,4.5,1.9,54.5,197,4.3,3575,6.7,0.0,679,Entertainment,427.49999999999994
34,Female,Kolkata,Apple,Ios,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,Entertainment,3605.0000000000005
38,Other,Jaipur,Oppo,Android,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,Education,585.0
38,Female,Ahmedabad,Oneplus,Android,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,Work,2112.0
41,Female,Delhi,Realme,Android,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,Education,1162.5
41,Female,Bangalore,Samsung,Android,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,Education,8051.000000000001
30,Female,Ahmedabad,Samsung,Android,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,Work,884.0
43,Male,Kolkata,Google Pixel,Android,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,Education,3645.0000000000005
40,Female,Kolkata,Samsung,Android,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,Social Media,5901.000000000001
18,Male,Delhi,Oppo,Android,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,Gaming,2756.0
24,Female,Delhi,Apple,Ios,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,Work,8232.0
23,Other,Kolkata,Motorola,Android,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,Gaming,8996.0
43,Other,Kolkata,Realme,Android,6.9,3.0,74.6,117,3.1,1883,5.2,1.8,108,Gaming,1035.0000000000002
31,Male,Ahmedabad,Google Pixel,Android,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,Work,8908.0
56,Female,Delhi,Oppo,Android,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,Gaming,6313.499999999999
51,Female,Ahmedabad,Samsung,Android,9.2,45.9,294.0,129,3.7,5449,1.0,3.8,1222,Entertainment,21114.0
19,Other,Kolkata,Motorola,Android,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,Entertainment,12660.0
26,Other,Pune,Xiaomi,Android,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,Social Media,721.5
28,Male,Chennai,Xiaomi,Android,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,Gaming,14107.500000000002
37,Other,Pune,Oneplus,Android,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,Work,17325.0
42,Other,Lucknow,Google Pixel,Android,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,Education,827.9999999999999
46,Other,Pune,Realme,Android,10.0,30.8,105.6,179,3.9,3003,4.9,2.4,472,Entertainment,15400.0
52,Male,Jaipur,Samsung,Android,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,Education,11650.0
23,Female,Hyderabad,Samsung,Android,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,Entertainment,9967.5
25,Female,Hyderabad,Nokia,Android,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,Entertainment,6600.0
39,Female,Ahmedabad,Nokia,Android,2.4,14.6,9.5,84,1.6,1401,3.6,2.0,1081,Education,1752.0
43,Other,Lucknow,Vivo,Android,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,Social Media,25935.000000000004
39,Male,Jaipur,Samsung,Android,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,Social Media,17952.0
38,Male,Lucknow,Oppo,Android,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,Gaming,4491.0
46,Other,Lucknow,Motorola,Android,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,Gaming,5293.000000000001
33,Male,Jaipur,Vivo,Android,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,Education,20710.0
51,Other,Delhi,Nokia,Android,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,Gaming,14910.0
57,Other,Pune,Nokia,Android,10.8,39.2,28.6,126,4.0,526,4.7,1.2,1610,Entertainment,21168.000000000004
59,Male,Pune,Google Pixel,Android,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,Entertainment,1333.9999999999998
21,Other,Kolkata,Vivo,Android,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,Gaming,10656.0
17,Other,Hyderabad,Motorola,Android,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,Entertainment,20768.000000000004
22,Male,Mumbai,Google Pixel,Android,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,Work,5160.0
25,Male,Bangalore,Apple,Ios,1.5,25.9,24.3,62,4.5,9363,7.5,0.2,809,Entertainment,1942.4999999999998
29,Female,Kolkata,Motorola,Android,7.8,42.5,71.6,17,4.2,1972,3.7,3.3,990,Social Media,16575.0
31,Female,Pune,Apple,Ios,10.9,41.1,273.4,157,4.2,9043,2.8,3.4,431,Education,22399.5
39,Male,Pune,Apple,Ios,8.4,46.3,175.6,180,5.6,3881,7.0,0.1,1254,Social Media,19446.0
15,Other,Mumbai,Realme,Android,10.5,39.3,77.1,137,2.2,8230,3.1,3.1,687,Work,20632.5
21,Male,Delhi,Apple,Ios,3.6,5.5,30.6,200,4.5,5214,7.7,3.8,1129,Entertainment,990.0
56,Male,Hyderabad,Motorola,Android,11.6,31.6,123.1,150,2.0,7124,6.7,3.4,1037,Entertainment,18328.0
29,Female,Jaipur,Xiaomi,Android,4.8,8.4,253.0,62,5.9,1373,1.4,0.8,1216,Gaming,2016.0
58,Female,Chennai,Xiaomi,Android,7.9,7.9,18.5,34,1.0,1875,3.5,0.4,1983,Social Media,3120.5
40,Other,Chennai,Xiaomi,Android,5.5,42.8,50.0,142,3.6,8911,4.4,3.7,1226,Work,11769.999999999998
38,Other,Hyderabad,Realme,Android,4.5,20.9,62.8,198,0.5,5339,0.6,3.3,767,Social Media,4702.5
32,Other,Delhi,Oneplus,Android,9.2,43.4,281.8,55,3.5,3082,4.6,3.9,1338,Work,19964.0
28,Female,Hyderabad,Samsung,Android,9.3,48.8,107.2,190,1.4,1623,7.6,2.9,1839,Education,22692.0
57,Male,Jaipur,Nokia,Android,9.6,49.4,257.1,47,2.7,5899,6.0,2.5,414,Gaming,23711.999999999996
43,Female,Jaipur,Oppo,Android,1.2,20.5,244.1,13,3.0,4570,5.3,3.2,206,Social Media,1230.0
54,Other,Hyderabad,Google Pixel,Android,8.0,24.5,85.7,163,1.5,2640,3.8,1.1,1580,Social Media,9800.0
15,Other,Pune,Oppo,Android,8.5,18.6,118.8,30,5.8,7615,6.8,2.5,448,Education,7905.000000000001
27,Male,Jaipur,Apple,Ios,1.5,7.8,50.7,151,1.1,5508,3.4,2.8,392,Education,585.0
56,Male,Chennai,Realme,Android,5.2,3.5,6.7,101,5.5,8684,5.8,0.5,1627,Entertainment,910.0
15,Other,Jaipur,Nokia,Android,8.9,13.9,99.2,51,5.4,7174,0.7,1.7,1837,Education,6185.5
19,Female,Chennai,Motorola,Android,7.2,16.0,163.5,191,1.9,6130,4.8,1.8,1202,Gaming,5760.0
31,Other,Mumbai,Realme,Android,7.5,29.2,259.3,141,4.5,1991,1.3,1.1,1936,Work,10950.0
44,Other,Chennai,Nokia,Android,10.8,15.8,152.4,81,3.1,8153,7.3,1.6,1350,Gaming,8532.0
53,Male,Hyderabad,Google Pixel,Android,1.4,28.9,265.2,179,3.9,1032,4.5,2.1,254,Entertainment,2022.9999999999998
46,Other,Mumbai,Samsung,Android,5.9,38.1,144.6,186,2.1,684,4.5,1.2,1562,Social Media,11239.500000000002
25,Other,Hyderabad,Oneplus,Android,3.7,49.5,160.5,77,4.2,9444,1.8,0.2,1268,Entertainment,9157.5
49,Male,Pune,Google Pixel,Android,10.1,9.4,69.5,125,0.7,5893,4.2,4.6,837,Social Media,4747.0
23,Female,Pune,Oppo,Android,10.1,6.1,68.8,198,5.8,3598,1.6,3.9,1054,Work,3080.4999999999995
24,Male,Delhi,Samsung,Android,6.1,9.0,240.6,126,1.0,1035,3.2,1.3,944,Gaming,2745.0
21,Male,Mumbai,Oppo,Android,6.5,1.5,115.0,196,2.1,1824,1.8,1.8,727,Entertainment,487.5
39,Female,Delhi,Apple,Ios,4.8,22.6,205.0,71,5.3,5852,3.6,3.6,1574,Work,5424.0
50,Female,Delhi,Motorola,Android,3.7,48.7,57.3,52,3.9,7916,2.7,2.1,905,Social Media,9009.500000000002
25,Other,Hyderabad,Oneplus,Android,5.2,37.5,218.5,23,3.1,3433,6.6,2.0,147,Education,9750.0
21,Other,Lucknow,Vivo,Android,2.9,27.6,202.1,85,1.8,6866,3.3,4.2,1149,Entertainment,4002.0000000000005
39,Female,Hyderabad,Google Pixel,Android,7.7,6.6,118.1,39,4.9,5299,7.9,2.5,1795,Social Media,2541.0
48,Male,Chennai,Apple,Ios,5.0,22.5,98.8,143,2.1,708,7.6,2.9,1389,Social Media,5625.0
18,Other,Lucknow,Apple,Ios,3.7,40.8,226.0,167,0.8,4554,0.9,4.2,411,Social Media,7548.0
56,Male,Jaipur,Nokia,Android,4.4,11.9,30.3,68,5.7,716,2.6,0.3,715,Entertainment,2618.0000000000005
43,Other,Lucknow,Samsung,Android,2.4,42.1,147.2,143,4.8,3847,5.6,4.4,1760,Work,5052.0
59,Male,Ahmedabad,Xiaomi,Android,8.8,31.1,216.5,122,2.8,3840,4.1,3.4,267,Entertainment,13684.0
33,Male,Ahmedabad,Apple,Ios,8.2,34.4,173.0,177,5.2,8751,0.7,3.0,850,Gaming,14104.0
19,Male,Lucknow,Vivo,Android,4.1,14.3,134.6,193,4.9,977,6.2,0.2,512,Social Media,2931.5
59,Female,Kolkata,Xiaomi,Android,1.5,5.3,286.9,83,4.8,151,6.9,0.4,1849,Gaming,397.49999999999994
49,Male,Jaipur,Nokia,Android,1.8,14.2,176.7,138,3.4,4034,8.0,2.5,1130,Education,1278.0
53,Female,Bangalore,Xiaomi,Android,8.1,22.6,228.5,48,2.8,1175,5.0,2.2,176,Gaming,9153.0
49,Other,Lucknow,Motorola,Android,11.7,42.6,218.5,150,5.6,6184,6.3,0.6,1980,Social Media,24920.999999999996
57,Other,Chennai,Motorola,Android,1.1,23.3,41.1,10,0.8,2170,4.1,2.6,1653,Social Media,1281.5000000000002
45,Male,Mumbai,Vivo,Android,6.7,26.1,137.5,137,4.9,8216,5.6,1.3,306,Social Media,8743.5
18,Male,Hyderabad,Apple,Ios,6.0,16.7,201.8,43,2.9,4640,5.2,4.6,1497,Entertainment,5009.999999999999
42,Male,Chennai,Google Pixel,Android,5.5,49.4,55.7,117,1.4,9032,2.0,4.5,332,Entertainment,13585.0
39,Male,Hyderabad,Oppo,Android,3.1,9.3,165.3,199,2.6,8547,1.4,3.5,186,Social Media,1441.5
60,Male,Pune,Samsung,Android,11.8,40.7,134.9,75,2.0,837,2.3,1.8,387,Education,24013.000000000004
16,Other,Chennai,Samsung,Android,7.9,6.8,69.8,38,2.8,5468,7.7,4.2,1304,Entertainment,2686.0
51,Male,Delhi,Realme,Android,1.7,26.0,80.4,33,5.7,8873,4.0,1.3,1318,Social Media,2210.0
50,Other,Delhi,Motorola,Android,3.8,15.6,264.9,183,0.9,4894,0.7,4.2,1740,Work,2963.9999999999995
29,Female,Lucknow,Vivo,Android,3.9,19.0,64.4,106,1.0,9942,3.3,0.3,612,Social Media,3704.9999999999995
51,Female,Lucknow,Oneplus,Android,7.3,44.2,211.4,80,0.5,6983,6.1,2.5,1150,Gaming,16133.000000000002
50,Other,Ahmedabad,Nokia,Android,5.4,15.1,40.6,130,5.6,3470,5.3,2.2,1047,Social Media,4077.0000000000005
34,Other,Kolkata,Oneplus,Android,1.9,1.4,187.6,34,2.5,2706,0.9,4.4,287,Social Media,132.99999999999997
16,Other,Jaipur,Motorola,Android,11.5,41.2,274.4,122,4.8,206,3.1,1.2,1935,Education,23690.0
35,Female,Hyderabad,Xiaomi,Android,7.9,33.3,50.0,90,5.8,8385,6.2,4.0,633,Work,13153.5
39,Male,Pune,Oppo,Android,7.2,12.1,281.8,58,1.9,5116,7.6,4.5,1271,Social Media,4356.0
38,Male,Jaipur,Nokia,Android,5.0,27.2,166.8,152,1.8,1111,0.7,4.0,578,Work,6800.0
34,Other,Mumbai,Realme,Android,9.4,9.7,96.8,19,4.0,7564,3.2,2.1,1003,Work,4559.0
58,Other,Mumbai,Apple,Ios,7.1,43.3,248.5,57,2.6,8474,2.0,0.9,160,Gaming,15371.499999999998
40,Other,Chennai,Vivo,Android,9.9,14.7,128.0,121,3.6,3870,5.2,3.8,258,Social Media,7276.5
20,Female,Jaipur,Google Pixel,Android,9.0,6.0,137.9,49,0.7,8615,0.8,2.3,223,Education,2700.0
29,Male,Chennai,Oppo,Android,10.1,33.3,168.3,40,2.5,8182,4.9,0.2,621,Gaming,16816.5
29,Other,Chennai,Oppo,Android,8.1,37.9,218.4,93,4.0,7142,5.5,0.1,157,Gaming,15349.499999999998
33,Other,Ahmedabad,Google Pixel,Android,3.6,36.2,83.9,52,4.9,639,7.9,3.0,1480,Gaming,6516.000000000001
28,Other,Hyderabad,Samsung,Android,11.1,35.3,37.4,182,5.6,7845,3.3,2.2,1813,Social Media,19591.5
28,Female,Jaipur,Samsung,Android,7.5,20.6,205.1,188,3.7,7816,3.4,3.0,952,Social Media,7725.0
47,Male,Mumbai,Nokia,Android,8.7,25.7,196.5,14,5.3,2252,4.6,3.7,757,Education,11179.499999999998
39,Female,Chennai,Google Pixel,Android,12.0,32.2,35.9,16,4.1,1414,0.8,3.6,233,Entertainment,19320.0
47,Male,Chennai,Samsung,Android,5.0,26.6,250.1,21,3.8,2485,7.6,0.6,1723,Social Media,6650.0
19,Other,Mumbai,Xiaomi,Android,11.7,6.2,81.7,20,3.3,3667,6.1,4.2,722,Social Media,3626.9999999999995
54,Male,Hyderabad,Google Pixel,Android,8.7,30.9,286.4,173,3.0,2456,6.8,2.3,1716,Social Media,13441.5
44,Female,Ahmedabad,Nokia,Android,3.7,26.1,275.5,119,2.8,957,2.4,1.8,590,Work,4828.5
52,Female,Lucknow,Oneplus,Android,2.2,18.7,121.5,132,1.1,1903,5.4,0.2,1804,Social Media,2057.0
43,Male,Pune,Nokia,Android,5.4,21.2,244.2,140,3.3,8206,7.9,1.0,1178,Social Media,5724.0
50,Male,Kolkata,Oneplus,Android,4.0,9.2,267.7,53,5.7,6357,0.7,1.2,1479,Work,1839.9999999999998
30,Male,Mumbai,Realme,Android,5.8,15.2,116.0,10,2.5,1605,4.7,0.2,897,Entertainment,4408.0
38,Other,Hyderabad,Samsung,Android,5.1,18.7,67.4,147,3.3,5150,6.5,0.7,408,Social Media,4768.499999999999
33,Female,Hyderabad,Realme,Android,4.3,44.9,64.7,176,5.2,3146,2.2,0.2,1484,Work,9653.5
53,Female,Pune,Google Pixel,Android,4.9,6.5,199.6,181,5.1,7676,3.3,0.6,1150,Work,1592.5
56,Male,Kolkata,Oneplus,Android,10.4,47.4,168.2,127,1.8,126,5.3,1.3,319,Social Media,24648.0
58,Female,Pune,Oppo,Android,5.4,14.8,106.0,58,5.0,3633,1.7,4.6,703,Entertainment,3996.000000000001
31,Female,Lucknow,Apple,Ios,11.8,35.5,132.0,91,4.4,4462,0.8,2.8,858,Entertainment,20945.0
42,Female,Mumbai,Realme,Android,10.2,21.4,296.3,175,1.1,2252,3.4,1.1,716,Work,10913.999999999998
48,Female,Chennai,Google Pixel,Android,9.4,35.8,256.5,160,1.6,8873,5.1,1.6,882,Work,16826.0
51,Female,Delhi,Nokia,Android,6.1,46.3,38.1,89,2.1,6856,5.3,0.9,1328,Entertainment,14121.499999999998
58,Female,Jaipur,Motorola,Android,4.5,7.3,126.7,174,2.6,8052,7.3,2.4,779,Gaming,1642.5
32,Other,Hyderabad,Vivo,Android,1.6,9.1,122.1,120,3.7,2559,6.0,1.3,1557,Gaming,728.0
41,Female,Delhi,Samsung,Android,4.6,49.0,89.2,28,4.8,8197,6.9,4.4,1969,Social Media,11269.999999999998
20,Male,Jaipur,Realme,Android,5.0,33.3,28.3,70,3.1,2828,3.7,2.1,418,Social Media,8325.0
52,Other,Hyderabad,Nokia,Android,2.1,50.0,165.8,126,2.7,5500,6.4,3.9,739,Entertainment,5250.0
53,Other,Mumbai,Google Pixel,Android,3.3,43.2,102.8,140,1.3,1248,3.5,0.0,846,Social Media,7128.0
23,Male,Chennai,Xiaomi,Android,8.4,8.0,124.2,51,4.3,6406,3.1,0.1,953,Education,3360.0
36,Male,Hyderabad,Google Pixel,Android,3.0,41.0,188.4,95,1.8,627,1.7,4.0,1407,Social Media,6150.0
34,Female,Kolkata,Nokia,Android,3.9,43.6,296.2,193,0.8,2430,1.9,4.0,1128,Gaming,8502.0
45,Other,Delhi,Apple,Ios,6.4,15.3,38.5,96,5.7,3191,7.9,4.6,1082,Social Media,4896.000000000001
49,Female,Ahmedabad,Realme,Android,8.4,28.8,62.6,16,0.7,3036,3.3,3.7,1184,Gaming,12096.0
17,Other,Mumbai,Oneplus,Android,4.1,20.9,29.9,161,5.0,3385,7.8,2.3,1139,Education,4284.499999999999
33,Other,Delhi,Realme,Android,8.7,7.5,258.6,42,4.6,8676,3.0,1.9,366,Gaming,3262.5
41,Other,Jaipur,Oneplus,Android,6.6,44.6,56.3,28,2.6,4031,1.5,0.3,395,Education,14718.0
45,Other,Hyderabad,Oneplus,Android,3.9,3.6,154.3,183,5.6,3338,7.6,4.9,929,Gaming,702.0
25,Female,Delhi,Realme,Android,1.5,19.1,235.2,17,2.0,5411,7.5,4.6,1540,Education,1432.5
60,Other,Delhi,Xiaomi,Android,7.9,32.2,238.0,65,2.2,4387,7.3,4.1,171,Entertainment,12719.000000000002
59,Other,Lucknow,Oppo,Android,7.2,1.0,147.4,93,3.6,3533,3.2,3.5,541,Work,360.0
23,Female,Bangalore,Xiaomi,Android,3.2,32.2,92.2,112,4.1,6328,1.9,2.0,252,Social Media,5152.000000000001
21,Male,Ahmedabad,Realme,Android,2.7,25.3,76.5,169,5.9,2312,4.0,1.8,185,Gaming,3415.5
16,Male,Chennai,Oppo,Android,8.2,8.4,233.3,142,0.9,8059,1.2,4.6,1804,Work,3444.0
15,Other,Kolkata,Vivo,Android,11.4,20.4,171.1,47,1.6,4815,7.8,4.2,535,Work,11628.0
20,Female,Jaipur,Oppo,Android,9.3,10.9,103.8,144,3.5,4535,1.7,2.8,1130,Entertainment,5068.5
37,Male,Hyderabad,Motorola,Android,9.7,26.3,94.1,31,3.8,9853,7.8,4.9,644,Social Media,12755.5
18,Other,Bangalore,Google Pixel,Android,10.7,24.8,170.7,184,1.0,9616,2.0,3.8,1542,Work,13268.0
33,Other,Delhi,Samsung,Android,8.3,46.6,28.4,175,0.6,9944,7.4,4.2,1390,Social Media,19339.0
21,Male,Jaipur,Google Pixel,Android,12.0,18.0,211.5,113,3.1,1204,1.3,2.0,1766,Work,10800.0
28,Other,Ahmedabad,Oppo,Android,10.1,23.4,209.2,78,5.7,5198,4.1,1.6,1712,Gaming,11816.999999999998
26,Female,Jaipur,Google Pixel,Android,5.5,8.5,207.8,132,1.4,2955,3.0,0.5,388,Entertainment,2337.5
51,Other,Ahmedabad,Oppo,Android,5.4,49.1,106.7,126,1.3,187,5.2,0.7,1496,Entertainment,13257.000000000002
43,Other,Bangalore,Samsung,Android,4.8,22.0,23.9,187,3.7,8962,6.1,4.8,519,Social Media,5280.0
37,Female,Ahmedabad,Xiaomi,Android,6.2,22.0,206.9,58,3.6,625,3.4,4.1,198,Entertainment,6820.0
34,Female,Hyderabad,Vivo,Android,8.2,43.2,30.6,14,5.1,1312,6.5,3.9,1861,Work,17712.0
45,Male,Pune,Vivo,Android,3.9,15.1,68.9,124,5.0,1599,4.5,1.7,1484,Gaming,2944.5
26,Female,Lucknow,Oppo,Android,7.0,27.7,199.0,82,3.9,3790,5.4,3.2,1004,Entertainment,9695.0
26,Other,Kolkata,Google Pixel,Android,9.4,16.1,121.1,52,0.8,5732,1.0,4.4,1882,Work,7567.000000000002
55,Female,Chennai,Motorola,Android,7.5,4.2,71.0,171,1.0,8505,4.6,3.7,364,Work,1575.0
20,Male,Chennai,Realme,Android,4.0,2.5,219.7,83,4.3,891,0.7,3.4,706,Education,500.0
